date,product_id,base_price,discount,weather,temperature,festival,competitor_price,marketing_spend,demand
01-01-2023,1006,202.41,0.01,Sunny,27.8,0,302.47,1572.41,38
02-01-2023,1003,390.44,0.01,Sunny,11.6,0,139,5965.19,31
03-01-2023,1007,337.19,0.22,Rainy,23.6,0,202.99,8569.87,21
04-01-2023,1004,140.89,0.2,Cloudy,30.2,0,183.11,9971.64,84
05-01-2023,1006,467.5,0.24,Cloudy,30.3,1,173.28,4873.09,64
06-01-2023,1009,416.03,0.03,Cloudy,21.2,1,250.35,3882.69,41
07-01-2023,1002,109.21,0.01,Rainy,38.3,1,364.57,9159.88,91
08-01-2023,1006,360.55,0.15,Rainy,15,0,174.81,2721.18,43
09-01-2023,1007,408.5,0.12,Rainy,25,0,233,6538.86,27
10-01-2023,1004,249.77,0.14,Rainy,30.7,0,242.46,4651.43,41
11-01-2023,1003,127.57,0.3,Rainy,30.9,0,470.82,1369.74,32
12-01-2023,1007,130.93,0.29,Cloudy,29.5,0,462.32,4125.6,56
13-01-2023,1007,141.7,0.28,Sunny,18.3,0,402.05,3387.06,49
14-01-2023,1002,436.18,0.24,Cloudy,14.7,0,184.25,7174.82,35
15-01-2023,1005,464.27,0.11,Sunny,29.1,1,116.53,9539.11,53
16-01-2023,1004,149.12,0.12,Rainy,28,0,213.59,3412.42,40
17-01-2023,1001,194.36,0.16,Sunny,15.4,0,194.05,8303.19,59
18-01-2023,1007,166.21,0.25,Cloudy,31.2,0,287.31,1498.24,62
19-01-2023,1005,174.53,0.02,Cloudy,23.7,0,393.31,5843.09,40
20-01-2023,1001,435,0.13,Sunny,30,0,424.75,1634.95,35
21-01-2023,1004,232.86,0.02,Rainy,35.1,1,419.5,9406.3,93
22-01-2023,1000,224.58,0.15,Rainy,15.1,1,230.27,7897.16,91
23-01-2023,1009,190.96,0.27,Cloudy,10.6,1,358.02,6921.55,79
24-01-2023,1005,343.16,0.23,Sunny,33.4,1,212.01,8415.07,53
25-01-2023,1008,251.72,0.07,Rainy,28.3,0,113.75,6827.68,51
26-01-2023,1000,397.7,0.29,Rainy,31,0,363.61,9720.5,55
27-01-2023,1009,182.23,0.2,Cloudy,35.1,0,93.83,7425.62,55
28-01-2023,1002,415.12,0,Rainy,34.1,0,249.58,9321.93,40
29-01-2023,1006,341.49,0.08,Sunny,38.8,0,218.46,5654.19,44
30-01-2023,1003,145.71,0.08,Cloudy,26.1,0,360.42,2053.58,23
31-01-2023,1008,265.8,0.02,Cloudy,24.7,0,388.84,5753.6,63
01-02-2023,1002,445.41,0.29,Sunny,22.1,0,208.6,2141.86,11
02-02-2023,1004,469.18,0.14,Cloudy,14.6,0,406.53,6332.44,28
03-02-2023,1002,286.28,0.27,Rainy,27.2,0,204.63,5342.44,44
04-02-2023,1006,292.33,0.1,Rainy,18.3,0,264.07,6603.18,55
